anio;provincia;sector;subsector;tipo_de_gas;valor_toneladas_gas;valor_toneladas_co2e
2010;Santiago del Estero;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;442.64;12393.93
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;88.66;2482.55
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3B. Gestion del estioercol;CH4;0.72;20.26
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;429.43;113800.22
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.98;258.98
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;564.28;149533.96
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.06;15.08
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.11;28.51
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.10;25.59
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;56.39;14943.41
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;3.24
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.07;17.43
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;20.53;5441.22
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;1.50
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.21;56.29
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.14;37.92
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.12;32.83
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.54;142.10
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;4.93;1307.10
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.82
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.03;536.98
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.30;79.13
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;472.10;125105.97
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;20.26;5367.97
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;4.02;1065.87
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.09;23.67
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;57.68;15286.51
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.11;30.35
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;76.19;20189.70
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;2.15
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;3.34
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;3.27
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;7.38;1955.59
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.40
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;2.12
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.73;724.68
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.17
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.03;6.65
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;3.83
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.02;4.31
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.07;17.72
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.64;170.47
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.12
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.25;67.46
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.04;11.28
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;61.39;16269.22
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.69;712.96
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.58;153.36
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;1.34
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;225.45;59745.12
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.51;135.96
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;296.25;78505.33
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.03;7.92
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.06;14.97
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.05;13.43
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;29.60;7845.29
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;1.70
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.03;9.15
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;10.78;2856.64
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.79
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.11;29.55
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.08;19.91
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.07;17.24
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.28;74.60
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.59;686.23
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.43
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;1.06;281.91
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.16;41.55
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;247.85;65680.63
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;10.63;2818.18
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.11;559.58
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.05;12.43
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;283.43;75108.15
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.64;170.92
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;372.42;98692.41
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.04;9.95
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.07;18.81
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.06;16.89
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;37.22;9862.65
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;2.14
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.04;11.50
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;13.55;3591.21
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.99
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.14;37.15
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.09;25.02
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.08;21.67
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.35;93.79
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;3.26;862.69
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.54
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;1.34;354.40
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.20;52.23
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;311.58;82569.94
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;13.37;3542.86
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;2.65;703.47
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.06;15.62
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;12.11;3210.17
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.02;6.37
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;16.00;4239.84
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.45
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.70
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.69
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;1.55;410.67
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.08
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.45
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.57;152.18
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.03
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;1.40
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.80
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.90
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;3.72
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.14;35.80
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.03
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.05;14.17
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;2.37
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;12.89;3416.54
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.56;149.72
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.12;32.21
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.28
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;15.23;4035.64
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.03;8.01
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;20.11;5330.08
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.57
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.88
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.86
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;1.95;516.28
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.11
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.56
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.72;191.32
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.04
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;1.76
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;1.01
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;1.14
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.02;4.68
;;;;;;
2010;Salta;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.17;45.00
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.03
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.07;17.81
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.01;2.98
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;16.21;4295.07
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.71;188.22
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.15;40.49
;;;;;;
2010;Tierra del Fuego, Antartida e Islas del Atlantico Sur;Agricultura y Ganaderia;3D. Suelos agro­colas;N2O;0.00;0.35
;;;;;;
2010;Buenos Aires;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;31.06;8231.20
;;;;;;
2010;Catamarca;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.06;16.34
;;;;;;
2010;Cordoba;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;41.02;10871.38
;;;;;;
2010;Corrientes;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;1.16
;;;;;;
2010;Chaco;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.01;1.80
;;;;;;
2010;Chubut;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.01;1.76
;;;;;;
2010;Entre Ro­os;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;3.97;1053.01
;;;;;;
2010;Formosa;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;0.22
;;;;;;
2010;Jujuy;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;1.14
;;;;;;
2010;La Pampa;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;1.47;390.21
;;;;;;
2010;La Rioja;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;0.09
;;;;;;
2010;Mendoza;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.01;3.58
;;;;;;
2010;Misiones;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.01;2.06
;;;;;;
2010;Neuquoen;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.01;2.32
;;;;;;
2010;Ro­o Negro;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.04;9.54
;;;;;;
2010;Salta;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.35;91.79
;;;;;;
2010;San Juan;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.00;0.07
;;;;;;
2010;San Luis;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.14;36.32
;;;;;;
2010;Santa Cruz;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.02;6.08
;;;;;;
2010;Santa Fe;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;33.06;8760.35
;;;;;;
2010;Santiago del Estero;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;1.45;383.90
;;;;;;
2010;Tucuman;Agricultura y Ganaderia;3B. Gestion del estioercol;N2O;0.31;82.58
;;;;;;
